"recordIdentifier","recordType","organizationCustomerIdentifier","programCustomerIdentifier","memberCustomerIdentifier","previousMemberCustomerIdentifier","memberStatus","fullName","firstName","middleName","lastName","streetLine1","streetLine2","city","state","postalCode","country","phoneNumber","emailAddress","membershipStartDate","membershipEndDate","productIdentifier","productTemplateField1","productTemplateField2","productTemplateField3","productTemplateField4","productTemplateField5"
"218b2872-87f8-4ab7-a60a-d582cfa9e1d2","MEM_SYN","160","1504","9900001","NULL","OPEN","NULL","Sam2","William","Gossin","183 Timbercreek Way","345","West Valley City","UT","84119","US","801 111 1111","test1234@gossinindustries.com","NULL","20131107","NULL","NULL","NULL","NULL","NULL","NULL"
"984a9569-9e51-42d2-baf8-f40d82f87aa0","MEM_SYN","160","1504","9900002","prevMbrId","OPEN","fullName","Bill","NULL","Gephardt","184 Timber","","S SLC","UT","84119","US","801 222 2222","test23456@gossinindustries.com","startDate","20131107","productId","template1","template1","template2","template3","template4","template5"
"f0f0bf7d-7f36-43de-9e5c-338932d0ed0f","MEM_SYN","160","8488","10940461","NULL","OPEN","NULL","tom","NULL","","","NULL","","WI","12345","","NULL","here@there.com","NULL","20300101","NULL","NULL","NULL","NULL","NULL","NULL"
"ed7bbf21-7914-4c88-8727-3f85fb558e2f","MEM_SYN","160","8488","10940474","NULL","OPEN","NULL","tom","NULL","","","NULL","","WI","12345","","NULL","here@there.com","NULL","20300101","NULL","NULL","NULL","NULL","NULL","NULL"
"d05c2cdd-d014-43bb-afae-f28098c7e333","MEM_SYN","160","8488","10940487","NULL","OPEN","NULL","tom","NULL","","","NULL","","WI","12345","","NULL","here@there.com","NULL","20300101","NULL","NULL","NULL","NULL","NULL","NULL"
"d58e331a-535c-497f-a8ef-413b30af580a","MEM_SYN","160","8488","10940500","NULL","OPEN","NULL","tom","NULL","","","NULL","","WI","12345","","NULL","here@there.com","NULL","20300101","NULL","NULL","NULL","NULL","NULL","NULL"
"74ce0387-8b19-4cfb-a022-ac2a2d697223","MEM_SYN","160","8488","10940513","NULL","OPEN","NULL","tom","NULL","","","NULL","","WI","12345","","NULL","here@there.com","NULL","20300101","NULL","NULL","NULL","NULL","NULL","NULL"
"39d6b771-1a7f-4d20-8631-9b35d4e9b3c9","MEM_SYN","160","8488","10940539","NULL","OPEN","NULL","tom","NULL","","","NULL","","WI","12345","","NULL","here@there.com","NULL","20300101","NULL","NULL","NULL","NULL","NULL","NULL"
"1b0cc565-b78c-412a-8b67-f61caaf166d8","MEM_SYN","160","8488","10940552","NULL","OPEN","NULL","tom","NULL","","","NULL","","WI","12345","","NULL","here@there.com","NULL","20300101","NULL","NULL","NULL","NULL","NULL","NULL"
"6213dfb7-d313-45f6-81e8-7bf82c869af8","MEM_SYN","160","8488","10940565","NULL","OPEN","NULL","tom","NULL","","","NULL","","WI","12345","","NULL","here@there.com","NULL","20300101","NULL","NULL","NULL","NULL","NULL","NULL"
"01e0aa59-53e9-4ac8-afe8-7c51b2b99bc0","MEM_SYN","160","8488","10940578","NULL","OPEN","NULL","tom","NULL","","","NULL","","WI","12345","","NULL","here@there.com","NULL","20300101","NULL","NULL","NULL","NULL","NULL","NULL"
"eaa756b0-eeff-49fa-ad4a-2af443f30896","MEM_SYN","160","8488","10940591","NULL","OPEN","NULL","tom","NULL","","","NULL","","WI","12345","","NULL","here@there.com","NULL","20300101","NULL","NULL","NULL","NULL","NULL","NULL"
"62c306c2-80b9-4ef5-b44a-757c7dcaf271","MEM_SYN","160","8488","10940604","NULL","OPEN","NULL","tom","NULL","","","NULL","","WI","12345","","NULL","here@there.com","NULL","20300101","NULL","NULL","NULL","NULL","NULL","NULL"
