"recordIdentifier","recordType","organizationIdentifier","programIdentifier","memberIdentifier","previousMemberIdentifier","memberStatus","fullName","firstName","middleName","lastName","streetLine1","streetLine2","city","state","postalCode","country","phoneNumber","emailAddress"
"1af8da21-765d-42c7-a53d-cff7dc5928ef","MEM_SYN","100","13","1","NULL","OPEN","NULL","NULL","NULL","phq6oAbzk6tbpmefgsaz","NULL"," lgHxcgsnhzwpg xy1Dg","r zzvs3qnHvetnwcpSgr","NULL","NULL","rz6h7ny0cskd4foeqnmi","aTrhhxp4lyDocgg ymrn","h cyjxdbv6nfzhInzp f"
"2e09aaea-208e-4cd7-a319-5586493a214a","MEM_SYN","100","13","3","NULL","OPEN","vMr4sojuuctjkdFaxiua","vxxeb2pkavzedsctfzse","NULL","NULL","NULL","kanZgwpvaabhvy n jhn","ir K0raj82imyadzjvz6","NULL","NULL","NULL","jslluvsh6jKW 9muxqvz","qlGclwuqooqb8qxnu5xm"
"2afb93f2-d9b1-4d4e-8d62-e28c1df9732d","MEM_SYN","100","13","7","NULL","OPEN","fjlymhxuLfkd4mtjzvnb","zimslxfIjlmGkcpcupkq","NULL","wue5bc r5ixobgkvfqxb","zuIb  bQrzu9fers rjv","NULL","karza qzchkr8Fkw0tlu","v2fj xutujy hjpleaap","NULL","NULL","NULL","NULL"
"875c793b-3758-46c0-add2-20ff95033cd7","MEM_SYN","100","13","8","NULL","CLOSED","NULL","NULL","NULL","NULL","NULL","Xh0plqw neSl uqnpul6","NULL","NULL","NULL","qvg ddlr 2wxL toocth","smqhhesiHWuec1qlsck","orjubkjhgtc2 wpndcjk"
"47970540-99cc-43b2-8b60-64a551f789e5","MEM_SYN","100","13","10","NULL","OPEN"," knuwotqzpd r9byzmbk","NULL","ed jxzjj6gn xaiipssi","tcwb g4vvuvqzrecRfnb","sH n6mLobamc zoei s ","NULL","8dcqsasienXyccb myuc","p R  9yetkjsbyhukxbo","jckxeiEfufsuuw7lrbpe","NULL","f rv61gfazazqakudwpp","v hxn0xxajgtqJgwpKgk"
"1ff3d103-7c53-40a7-a2a2-7784ae764131","MEM_SYN","100","13","11","NULL","OPEN","NULL"," 7uozbcRywjPhsmfqpcz","NULL","kvnE1ddcijxlcmuprgen","NULL","NULL","zfljzwigd czxWhjm42f","NULL","c268u mWKsegudugJwai","NULL","NULL","1WpxYyeyePQv jd0ybp "
"c8800ad4-15b9-4782-8c7f-e90b3f77a377","MEM_SYN","100","13","13","NULL","OPEN","NULL"," dvjfmbfjq2Rtbmgj kr","NULL","yJ rQeftntdj jdbauo8","NULL","njanxlkhzpr so7sd9in","NULL","w8m9hrfr h 6 tvanwbq","NULL","NULL","NULL","NULL"
"8456d43a-82d9-4f10-b1c3-1e39c76d0c3e","MEM_SYN","100","13","16","NULL","OPEN","NULL","NULL","jbxccnnmlk Edkqslzob","fn7dpxRVy0fvxzgai rs","nhugah pn3hkqp cozqm","NULL","3qg5h xburzxYnyjvlaf","2q gy18nebsfNqvzykvw","k Hyvy9qpmxua1ee xdB","NULL","NULL","hnbvzkxo shgxWTj mhp"
"8f8e15f2-72e5-4966-ad7c-90cf634291cb","MEM_SYN","100","13","18","NULL","OPEN","dpi ehpkOadl lzrmc2b","cdkiptfur dcdpnN0eqp","NULL","v wep skys gikrushgd","ZraRrieljzxknczxntKw","NULL","uzugefrwqppshzlvlLf9","NULL","bzrs2srmse5g bmx sss","betyylpzbanzamd y xd","sxnaxbg upkm Zwctmdg","NULL"
"5acff2dd-fe78-4f7c-9a29-b9d9023f2487","MEM_SYN","100","13","20","NULL","OPEN","NULL","ajcabwfdxzplxxpzjRsL","NULL","0ohkg2gQriel3vf0wscD","NULL"," GqbxzyctImvgmcawtjj","NULL","NULL","NULL","dUanwlnwkbyx laaQtq7","NULL","NULL"
"5a04d758-1c6b-48a2-821a-760545962597","MEM_SYN","100","13","21","NULL","CLOSED","qgurgdOnapxdbIc8nNtc","NULL","NULL","fmNi6 4r cabfgfsfvto","NULL","pdxpyksqdhd6xjo7yrhw","filsork7wvVoyxnh8 if","NULL","j1ygxuuuanbostmvfami","NULL","mTeeFftjzdsczdbGvt","npwscbl q mgtDjq ugD"
"759db7c1-bed2-4a94-9976-1fd9e9600417","MEM_SYN","100","13","22","NULL","OPEN","msqJmSysxd3erzvxYuea","xnXrAgazhctouy8jnw o","fdq99T 2opkhrgo7G ox","bbbIkyppexjihktuctho","zuxjj0XAuz7itnanidqt","cmnswf aea0 j6il W16","vizuzc5rtyacyztfpf3l","rzvc0Zkd8shlXdafn3xj","ldamiblmplmVshuaXmbk","NULL","jvkppawzufgfooynh xZ","qtmwqkU rzirztZagw g"
"b50f6434-a4d0-4e18-aa6d-6eb4eaca0e09","MEM_SYN","100","13","23","NULL","OPEN","vwjdvyu5mmeMujbkc3rA","NULL","NULL","oihu2 gr0myiodqqgk y","NULL","NULL","NULL"," e7jmlduzZfgq424Fvha","oyearytvtaxkf7uzCyc ","pc rmqvf3szzwlt9erqY","kkunxgsiUsohqzegjptQ","NULL"
"b2364205-0532-46ea-b61a-9bbda7c9841f","MEM_SYN","100","13","24","NULL","OPEN","Ahrxj v  lxktn1n yqw","NULL","NULL","asxhnmsLP magl B pyj","onqcxroomqhxkpm ds X","NULL","NULL","gxpo fdnd7d1 yncgngm","NULL","NULL","xqcad ygk  e5l6 qkn","nWehrycdwkupyvpuTacv"
"e41a5469-7c7e-4cff-90f7-1e03df5a27e6","MEM_SYN","100","13","27","NULL","OPEN","fwqwcfgszccgn gro ac","n kwl8hwbjV 8goyVwlz","NULL","wb YdDz 1cloomebjj q","9jhorpca7iteogtr9Ttc","p cyjr1u2s wdxgfhkj ","NULL","NULL","klr enAmvppxiungnfgR","NULL","NULL","7lHv 2ieiwy6yftlyupm"
"4916f0ad-c71e-483e-8522-abf9dfa0edf7","MEM_SYN","100","13","29","NULL","CLOSED","tj 9ylL8gbnn srbzsue","NULL","mzu oaxhdueetkeknlcq","kpoecwtzMsqvjbqQeuFz","lg jWArtqivs3g3z qpS","pdhirilqdjndcm85rnfk","NULL","NULL","NULL","NULL","ynuruv mjbyjiznfQ7q","NULL"
"2d89502c-e884-4058-8600-8708dbeeb4a4","MEM_SYN","100","13","31","NULL","OPEN","fqxoyhpaMuzsevamckgc","NULL","psubrug7Is4 a Ec mfp","h8zmioicfj pg otyssz","0z7dqxtzfvjjxcbzx6fn","jarh TzntUxwquJpfcxr","dnvy uRk palz4 odyii","NULL","67akepqd7iwlk5ggbjc3","NULL","uh8luzZ1o blhjymnbU","zqjxdo0krus  uzoqxio"
"8768c859-d862-4331-b5d6-35d37502af97","MEM_SYN","100","13","32","NULL","OPEN","NULL","plmlxi8hcjmzsgi0psny","NULL","yka 1jnzylwbyk  fp5e","NULL","tppnPcqjepphkumm48yK","NULL"," okjvlbque lbwweaOsw","NULL","NULL","renQkmtvej akihb5ayi","NULL"
"b3cc5dae-3037-4631-a7b2-eea646363900","MEM_SYN","100","13","36","NULL","OPEN","NULL","NULL","fskrffqc jdtorwbyfuc","pewzwgJas1CwXbkgoehe","NULL","NULL","wyJ5utystKZto rsfuzq","NULL","lhqOcnggaudo2u mQ vp","otpbizj g4guoqixwSal","pdw8 lfy enisvzsgXmn","f6rnlwmjoyptlnt wqno"
"3cbbe503-b130-411e-8179-240e748d773d","MEM_SYN","100","13","37","NULL","OPEN","ryxAnste1gqx zafobgb","NULL","NULL","NULL","hLhaisjEumpr3xekXxxz","NULL","NULL","ieqyir0xaj mm9fhcx6Z","zhj axssxwddbwBvZ au","5gn7has8edwfpbhWdeog","NULL","g fbtckjYq0udrr76TbL"
"77ecc0ec-7d75-4631-b0d1-e31c92c21495","MEM_SYN","100","13","41","NULL","OPEN","NULL","NULL","NULL","NULL","afsq xlxfl3rzCibofsv","i4nUujAwdtq5KoaSil u","zdjttmtfxKgdj v2oth7","fPs w qccQkk xhqx3cp","e8qvyjfo kzidFvyviz2","NULL","Exdhinqj1gce2yIgrite","eqY1km 0crdmgaoajZdl"
"38a86bf7-cb8a-402d-a538-113164f9102b","MEM_SYN","100","13","43","NULL","OPEN","sv wwtj5sanm HkkyiJi","Geyrntlrvtomkmhlqjzw","ru5rjuv6Rafg2kabnxxk","NULL","NULL","Hkyxj ixZjwkjkxtnsis","bIl hD rteIsdqoxexLm","au Y sm yhdQfj9r0t g","hgedpnejdgeyhrepwfe ","lvoafKpyzjh3Actv yhf","NULL","NULL"
"86418459-15f2-4063-b73b-2aa4c2dee092","MEM_SYN","100","13","46","NULL","OPEN","koJUtd bac  wvwnxvei","NULL","z2zbozvkz6fhupeZpbxm","tinaeuhgrsjfjk xuFsf","NULL","NULL","pn bmxctnmUIyocjwl7e","NULL","NULL","NULL","NULL","Eolmerhjq avv zsvl5b"
"83bfe04b-fc3e-46cc-b320-a646b4bf53a4","MEM_SYN","100","13","48","NULL","OPEN","NULL","NULL","ni53 wsairlzdgsgnls ","NULL","vRhfo nwdzrhfqbjysb0","NULL","idkPMrmbhsxvtwamzeoh","o e9khulZwpye0sxrbkt","dgabgllbylxxagfdbll2","NULL","NULL","ziVw7ree0lem pl ct h"
"d3f2ffc4-e55a-4151-9b84-fb7513a5fa83","MEM_SYN","100","13","52","NULL","OPEN","asxcq3 f xt0zSvdrsjA"," u  j2nrMycm cmwbg3 ","m4ixxb xvgMcvqd rkrd","NULL","hiwva8i7Sv3e24z4 Mnb","tsupgxvvrgvvnmhQfwtq","ymhuankal vwfglcRbnc","NULL","NULL","bqYSoN3oihdnjwtizadR","NULL","NULL"
"87372699-369e-4128-8878-77148b846c9c","MEM_SYN","100","13","53","NULL","OPEN","fnoukzoxnaup h3ysmoo","NULL","NULL","gFb  yCpYzxc6xcnfpka","NULL","3jwenwnv3fugaq7ysxx ","NULL","ccqj  uahj 5n nlrhuc","NULL","NULL","NULL","8Ypacyudi1vr6xcbvawj"
"c400b2f6-8a93-45e8-9790-ffc1d6232469","MEM_SYN","100","13","57","NULL","OPEN","NULL","Nlwwrqepscmptpekclog","NULL"," tkykgcnuz awankuiL8","cees xxf7ecxcmajmpjK","NULL","gCgcpfesiCjhlCge l1i","NULL","NULL","NULL","NULL","NULL"
"f9a68592-f579-45f4-8646-3e0dfb96dc1d","MEM_SYN","100","13","58","NULL","OPEN","pvenleihcW j7dMmoryv","e Esguud c8byarpeRgu"," bp2fv YsouboxZ5hw u","NULL","NULL","9bjokuhb mpstjpuixxF","NULL","davvcnMcr c eyzrxcwJ","zorgga1pttF relipmHg","Ssq awwy rnHepZlb0 o","NULL","G6h5icsjcrvpho  fX h"
